subject	glasses	component	bin	distance	offset
p2	g2	vertical	3	0.178825511	-0.404325562
p2	g2	vertical	4	0.185131084	-0.430683732
p2	g2	vertical	5	0.196534724	-0.480102057
p2	g2	vertical	6	0.202978938	-0.821043432
p2	g2	vertical	7	0.210594584	-0.919544272
p2	g2	vertical	8	0.218768631	-0.798761987
p2	g2	vertical	9	0.227110579	-0.656158882
p2	g2	vertical	10	0.242248577	-0.513487682
p2	g2	vertical	11	0.267488849	-0.230826062
p2	g2	vertical	12	0.313232358	-0.326855072
p2	g2	vertical	13	0.391446103	-0.130755832
p2	g2	vertical	14	0.530314366	0.087950818
p2	g2	vertical	15	0.730148542	0.016388223
p2	g2	vertical	16	0.993884619	-0.163006157
p2	g2	vertical	17	1.411151482	-0.346869667
p2	g2	vertical	18	2.113350252	-0.168273812
p2	g2	vertical	19	3.297904488	0.180794238
p2	g2	vertical	20	5.329076176	0.059432018
p2	g3	horizontal	1	0.155382642	1.341834335
p2	g3	horizontal	2	0.157156792	0.778044155
p2	g3	horizontal	3	0.16328461	-0.72707622
p2	g3	horizontal	4	0.171763702	-0.90986417
p2	g3	horizontal	5	0.174589643	-0.794557715
p2	g3	horizontal	6	0.181279851	-0.515160815
p2	g3	horizontal	7	0.186545904	-0.439179095
p2	g3	horizontal	8	0.191011546	-0.63585933
p2	g3	horizontal	9	0.198029269	-0.496150535
p2	g3	horizontal	10	0.210757328	-0.660815765
p2	g3	horizontal	11	0.232138522	-0.667965545
p2	g3	horizontal	12	0.267562461	-0.662367215
p2	g3	horizontal	13	0.327078708	-0.614626755
p2	g3	horizontal	14	0.432772188	-0.52800287
p2	g3	horizontal	15	0.621359741	-0.249095595
p2	g3	horizontal	16	0.890688848	-0.12264111
p2	g3	horizontal	17	1.291888605	0.005118705
p2	g3	horizontal	18	1.981574974	0.074991785
p2	g3	horizontal	19	3.195139583	0.04471221
p2	g3	horizontal	20	5.441932183	0.17474886
p2	g3	vertical	1	0.155382642	-0.156502459
p2	g3	vertical	2	0.157156792	-0.491019774
p2	g3	vertical	3	0.16328461	-1.807693484
p2	g3	vertical	4	0.171763702	-1.778198454
p2	g3	vertical	5	0.174589643	-1.697531969
p2	g3	vertical	6	0.181279851	-1.582936599
p2	g3	vertical	7	0.186545904	-1.443421489
p2	g3	vertical	8	0.191011546	-1.636494954
p2	g3	vertical	9	0.198029269	-1.198137594
p2	g3	vertical	10	0.210757328	-1.155078494
p2	g3	vertical	11	0.232138522	-1.233170284
p2	g3	vertical	12	0.267562461	-0.959234174
p2	g3	vertical	13	0.327078708	-0.644887989
p2	g3	vertical	14	0.432772188	-0.461666064
p2	g3	vertical	15	0.621359741	-0.367899194
p2	g3	vertical	16	0.890688848	-0.159362684
p2	g3	vertical	17	1.291888605	0.125004511
p2	g3	vertical	18	1.981574974	0.128892096
p2	g3	vertical	19	3.195139583	0.294990641
p2	g3	vertical	20	5.441932183	0.200672501
p2	vps	horizontal	1	0.1771507	-0.366532199
p2	vps	horizontal	2	0.182097974	-0.244144104
p2	vps	horizontal	3	0.194317379	-0.091553829
p2	vps	horizontal	4	0.199155669	0.204430016
p2	vps	horizontal	5	0.207398711	-0.066998409
p2	vps	horizontal	6	0.210731179	-0.244507309
p2	vps	horizontal	7	0.216321807	-0.355556934
p2	vps	horizontal	8	0.224522078	-0.013796809
p2	vps	horizontal	9	0.236860347	-0.071407029
p2	vps	horizontal	10	0.25612046	0.035932211
p2	vps	horizontal	11	0.291577675	-0.144600929
p2	vps	horizontal	12	0.348411978	-0.191559554
p2	vps	horizontal	13	0.446565564	-0.528567219
p2	vps	horizontal	14	0.620142946	-0.624409839
p2	vps	horizontal	15	0.86338005	-0.720590829
p2	vps	horizontal	16	1.14946138	-0.576978919
p2	vps	horizontal	17	1.623658305	-0.268954699
p2	vps	horizontal	18	2.400515319	-0.170559289
p2	vps	horizontal	19	3.67369184	0.017860161
p2	vps	horizontal	20	5.875774833	0.346303951
p2	vps	vertical	1	0.1771507	-0.568520342
p2	vps	vertical	2	0.182097974	-0.397991502
p2	vps	vertical	3	0.194317379	-0.692883012
p2	vps	vertical	4	0.199155669	-0.706820092
p2	vps	vertical	5	0.207398711	-0.540528677
p2	vps	vertical	6	0.210731179	0.123749613
p2	vps	vertical	7	0.216321807	0.124025403
p2	vps	vertical	8	0.224522078	0.014836478
p2	vps	vertical	9	0.236860347	0.213959913
p2	vps	vertical	10	0.25612046	0.207927948
p2	vps	vertical	11	0.291577675	0.326177333
p2	vps	vertical	12	0.348411978	0.068737298
p2	vps	vertical	13	0.446565564	0.091581943
p2	vps	vertical	14	0.620142946	0.081148488
p2	vps	vertical	15	0.86338005	0.070824958
p2	vps	vertical	16	1.14946138	0.502506818
p2	vps	vertical	17	1.623658305	0.192655528
p2	vps	vertical	18	2.400515319	0.230336118
p2	vps	vertical	19	3.67369184	0.042493978
p2	vps	vertical	20	5.875774833	-0.081834902
p3	invisible	horizontal	1	0.104250876	-19.10488787
p3	invisible	horizontal	2	0.10623401	-18.56301734
p3	invisible	horizontal	3	0.108061449	-18.57649006
p3	invisible	horizontal	4	0.111012274	-18.57291085
p3	invisible	horizontal	5	0.115859204	-17.5224245
p3	invisible	horizontal	6	0.122416388	-17.34428001
p3	invisible	horizontal	7	0.126718671	-16.50924428
p3	invisible	horizontal	8	0.134387715	-13.04106654
p3	invisible	horizontal	9	0.141543229	-13.58574727
p3	invisible	horizontal	10	0.156581918	-12.82205734
p3	invisible	horizontal	11	0.178369446	-11.12215531
p3	invisible	horizontal	12	0.220548846	-8.693817104
p3	invisible	horizontal	13	0.294177021	-5.468398394
p3	invisible	horizontal	14	0.407380802	-3.222476584
p3	invisible	horizontal	15	0.577006416	-1.369009859
p3	invisible	horizontal	16	0.829271019	-0.596651784
p3	invisible	horizontal	17	1.249883132	0.372879916
p3	invisible	horizontal	18	1.956367034	1.377194551
p3	invisible	horizontal	19	3.163087218	1.463609986
p3	invisible	horizontal	20	5.2534119	1.778234236
p3	invisible	vertical	1	0.104250876	-8.130328808
p3	invisible	vertical	2	0.10623401	-7.647876468
p3	invisible	vertical	3	0.108061449	-7.463804033
p3	invisible	vertical	4	0.111012274	-7.203962083
p3	invisible	vertical	5	0.115859204	-6.774576903
p3	invisible	vertical	6	0.122416388	-4.832739953
p3	invisible	vertical	7	0.126718671	-4.117431463
p3	invisible	vertical	8	0.134387715	-3.605222863
p3	invisible	vertical	9	0.141543229	-4.762727463
p3	invisible	vertical	10	0.156581918	-3.852036293
p3	invisible	vertical	11	0.178369446	-2.690305513
p3	invisible	vertical	12	0.220548846	-1.732594303
p3	invisible	vertical	13	0.294177021	-1.098901843
p3	invisible	vertical	14	0.407380802	-0.603149723
p3	invisible	vertical	15	0.577006416	0.040138662
p3	invisible	vertical	16	0.829271019	0.382077407
p3	invisible	vertical	17	1.249883132	0.463711257
p3	invisible	vertical	18	1.956367034	0.434721362
p3	invisible	vertical	19	3.163087218	0.480086017
p3	invisible	vertical	20	5.2534119	0.107434167
p3	neon	horizontal	1	0.123104721	0.903692882
p3	neon	horizontal	2	0.135373574	0.462903907
p3	neon	horizontal	3	0.140047415	0.936554377
p3	neon	horizontal	4	0.142683103	0.742910502
p3	neon	horizontal	5	0.14865186	1.253077482
p3	neon	horizontal	6	0.156364186	1.030325872
p3	neon	horizontal	7	0.160069897	1.031501782
p3	neon	horizontal	8	0.170952414	0.944572222
p3	neon	horizontal	9	0.185121688	0.981620632
p3	neon	horizontal	10	0.20073803	0.631583582
p3	neon	horizontal	11	0.219644947	0.680591402
p3	neon	horizontal	12	0.250233827	0.668569672
p3	neon	horizontal	13	0.288502496	0.521915772
p3	neon	horizontal	14	0.344799895	0.317294842
p3	neon	horizontal	15	0.427892283	0.103660122
