subject	glasses	distance	target	median_acc_x	median_acc_y
p8	vps	30	2	-1.625094	-4.903497
p8	vps	30	3	0.516216	-5.775505
p8	vps	30	4	-0.979805	-4.143167
p8	vps	30	5	-0.384275	-6.154268
p8	vps	200	1	0.440703	-2.840131
p8	vps	200	2	0.538154	-3.34422
p8	vps	200	3	0.400376	-3.071005
p8	vps	200	4	-0.12612	-1.83705
p8	vps	200	5	0.238225	-2.773377
p9	invisible	30	1	-7.918468	-0.90705
p9	invisible	30	2	-6.759381	-0.909041
p9	invisible	30	3	-8.384401	-1.369752
p9	invisible	30	4	-7.65406	-2.654869
p9	invisible	30	5	-7.73451	0.228461
p9	invisible	200	1	-0.209138	0.210042
p9	invisible	200	2	-1.406844	0.414566
p9	invisible	200	3	-0.707168	-0.871303
p9	invisible	200	4	-0.676887	-2.069254
p9	invisible	200	5	-0.942104	0.673342
p9	neon	30	1	-0.329665	2.835161
p9	neon	30	2	0.279444	2.795662
p9	neon	30	3	-0.845369	2.864834
p9	neon	30	4	0.045795	1.944057
p9	neon	30	5	-0.681324	2.217319
p9	neon	200	1	-0.333279	2.908738
p9	neon	200	2	-0.501141	2.729789
p9	neon	200	3	-0.13315	3.714019
p9	neon	200	4	0.060771	3.234242
p9	neon	200	5	-0.077364	3.5668
p9	smi	30	1	0.383351	3.517521
p9	smi	30	2	1.259887	3.7603
p9	smi	30	3	-0.339797	3.389259
p9	smi	30	4	0.115677	2.089544
p9	smi	30	5	0.648882	4.407371
p9	smi	200	1	-0.090202	4.458897
p9	smi	200	2	0.466269	5.118019
p9	smi	200	3	-0.645325	5.052575
p9	smi	200	4	-0.393677	3.794639
p9	smi	200	5	0.301263	6.141398
p9	g2	30	1	-0.250587	-1.218574
p9	g2	30	2	-1.411235	0.714163
p9	g2	30	3	0.577295	-0.941776
p9	g2	30	4	0.00765	-0.140721
p9	g2	30	5	-0.523601	-0.978294
p9	g2	200	1	-0.136668	-1.150795
p9	g2	200	2	-0.35279	-0.632616
p9	g2	200	3	-0.136935	-0.366586
p9	g2	200	4	0.103747	-0.079336
p9	g2	200	5	-0.93922	0.328859
p9	g3	30	1	0.275798	0.728339
p9	g3	30	2	0.606675	0.75226
p9	g3	30	3	-0.485162	0.604331
p9	g3	30	4	-0.015949	0.281971
p9	g3	30	5	0.210853	1.20166
p9	g3	200	1	0.100441	0.616315
p9	g3	200	2	0.516055	0.881103
p9	g3	200	3	-0.1438	0.284262
p9	g3	200	4	0.032029	0.053548
p9	g3	200	5	0.13052	1.155518
p9	vps	30	1	2.25235	0.871135
p9	vps	30	2	2.992798	1.480276
p9	vps	30	3	0.124622	2.570235
p9	vps	30	4	1.594037	1.970512
p9	vps	30	5	3.76102	3.651995
p9	vps	200	1	1.902858	2.575671
p9	vps	200	2	1.950792	1.328072
p9	vps	200	3	0.886659	1.761323
p9	vps	200	4	1.859465	-0.049211
p9	vps	200	5	1.46651	2.490867
p10	invisible	30	1	-12.038843	-3.138688
p10	invisible	30	2	-10.214505	-1.727545
p10	invisible	30	3	-13.265295	-2.080759
p10	invisible	30	4	-11.10994	-3.361007
p10	invisible	30	5	-11.991396	-1.677783
p10	invisible	200	1	-3.461808	0.308489
p10	invisible	200	2	-3.656514	0.068078
p10	invisible	200	3	-4.004831	-0.677366
p10	invisible	200	4	-2.952801	-0.373273
p10	invisible	200	5	-3.806582	-0.396111
p10	neon	30	1	-1.266662	-1.447093
p10	neon	30	2	-0.600382	-2.186765
p10	neon	30	3	-2.080846	-1.992241
p10	neon	30	4	-0.9603	-1.869593
p10	neon	30	5	-0.890478	-2.78451
p10	neon	200	1	-1.315628	0.437011
p10	neon	200	2	-0.629339	0.695095
p10	neon	200	3	-1.540524	0.61339
p10	neon	200	4	-1.2949	0.710397
p10	neon	200	5	-0.955597	-0.947204
p10	smi	30	1	0.88083	-9.213026
p10	smi	30	2	0.638931	-8.995988
p10	smi	30	3	1.302472	-9.333497
p10	smi	30	4	1.335701	-8.156607
p10	smi	30	5	0.660451	-10.648846
p10	smi	200	1	-0.277274	-6.234064
p10	smi	200	2	-0.939868	-6.295929
p10	smi	200	3	0.380853	-6.222034
p10	smi	200	4	0.135255	-4.740186
p10	smi	200	5	-0.744255	-7.836909
p10	g2	30	1	-0.62964	2.210722
p10	g2	30	2	-0.829012	2.230893
p10	g2	30	3	-0.351475	2.423464
p10	g2	30	4	-0.686533	2.688415
p10	g2	30	5	-1.485818	2.694462
p10	g2	200	1	-0.52234	3.13194
p10	g2	200	2	-0.253342	2.82506
p10	g2	200	3	-0.470163	2.730018
p10	g2	200	4	0.934565	0.965502
p10	g2	200	5	-0.836631	3.197115
p10	g3	30	1	-0.638623	-0.367099
p10	g3	30	2	-0.660411	-0.641122
p10	g3	30	3	-0.228135	-0.686966
p10	g3	30	4	-0.527106	-0.323515
p10	g3	30	5	-0.501521	-0.206519
p10	g3	200	1	-0.434039	1.103871
p10	g3	200	2	-0.280948	1.40097
p10	g3	200	3	-0.367986	1.21826
p10	g3	200	4	-0.458885	0.713077
p10	g3	200	5	-0.337349	1.36845
p10	vps	30	1	0.127181	1.477943
p10	vps	30	2	-1.22063	2.19232
p10	vps	30	3	0.15262	1.889684
p10	vps	30	4	0.364863	1.566462
p10	vps	30	5	-2.190417	1.922768
p10	vps	200	1	1.340208	1.484396
p10	vps	200	2	-0.645457	1.555259
p10	vps	200	3	-0.137753	1.724859
p10	vps	200	4	0.577053	0.912025
p10	vps	200	5	-0.405331	1.19034
p11	invisible	30	1	-7.285213	4.067054
p11	invisible	30	2	-7.313488	4.152284
p11	invisible	30	3	-7.596754	2.868528
p11	invisible	30	4	-6.638211	3.64433
p11	invisible	30	5	-7.823358	4.401737
p11	invisible	200	1	1.985527	2.808583
p11	invisible	200	2	1.184706	3.711693
p11	invisible	200	3	4.000541	3.14555
p11	invisible	200	4	1.71705	4.000778
p11	invisible	200	5	2.014998	2.602907
p11	neon	30	1	0.259795	2.041116
p11	neon	30	2	0.80037	1.244992
p11	neon	30	3	0.407572	2.473829
p11	neon	30	4	0.74263	1.265326
p11	neon	30	5	0.738896	2.544863
p11	neon	200	1	1.183982	2.643129
p11	neon	200	2	1.17596	2.555037
p11	neon	200	3	0.875798	3.236991
p11	neon	200	4	1.507364	4.204654
p11	neon	200	5	0.686276	3.245258
p11	smi	30	1	-3.595814	-1.170457
p11	smi	30	2	-3.106574	-1.372226
p11	smi	30	3	-4.25105	-0.284274
p11	smi	30	4	-3.354861	-1.536537
p11	smi	30	5	-3.904988	-0.777788
p11	smi	200	1	-3.659255	0.889837
p11	smi	200	2	-3.492102	0.451956
p11	smi	200	3	-4.355589	1.333812
p11	smi	200	4	-3.355202	0.35714
p11	smi	200	5	-3.904098	1.272542
p11	g2	30	1	0.871541	0.598082
p11	g2	30	2	0.657183	0.134705
p11	g2	30	3	0.630182	1.402631
p11	g2	30	4	1.010467	0.477687
p11	g2	30	5	0.525417	1.5574
p11	g2	200	1	0.160689	2.144708
p11	g2	200	2	0.87794	1.53467
p11	g2	200	3	-0.124626	1.918924
p11	g2	200	4	1.175742	0.05025
p11	g2	200	5	0.265005	3.232627
p11	g3	30	1	-0.040076	-1.079957
p11	g3	30	2	0.99876	-1.204176
p11	g3	30	3	0.122509	-0.974934
p11	g3	30	4	0.288341	-2.072515
p11	g3	30	5	0.578076	-0.915901
p11	g3	200	1	0.571554	-0.746109
p11	g3	200	2	1.010587	-0.592648
p11	g3	200	3	0.001481	-0.602263
p11	g3	200	4	0.501856	-1.221002
